No,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Hint,Explanation,Details for Answer A,Details for Answer B,Details for Answer C,Details for Answer D
1,"Two team members continue to have arguments and opposing views on an issue. As a project manager, you are becoming concerned that their disagreement could affect their other tasks. You understand the issue but have not intervened hoping they can resolve the issue between themselves. Which of the following is the most appropriate action to take?",Meet with the two project members in an attempt to facilitate a solution,As project manager make an immediate and final decision,Escalate the issue to the sponsor,Get stakeholder input,A,Which approach is best to be used when there is a conflict that is not critical or immediate action is necessary?,"The question should be read carefully to assess the situation being presented. Although the question states the two team members need to resolve the situation, the situation is not presented as critical, nor has the project manager attempted to facilitate a solution. When conflict arises, which becomes a negative factor or issue, the project team members are initially responsible for resolving the issue. If the team members fail to resolve their differences, it is the responsibility of the proje","Meet with the two project members in an attempt to facilitate a solutionCorrect. The question doesn't indicate the situation is critical or that the project manager has already attempted to facilitate a solution. When conflict arises, and the team members haven't been able to make progress themselves, it is the responsibility of the project manager to become involved and attempt to facilitate a so",As project manager make an immediate and final decisionIncorrect. The question doesn't indicate the situation is critical or that the project manager has attempted to facilitate a solution so at this point it would be premature for the project manager to force a decision or make the decision independent of a discussion between the two project members. Facilitating a discussion in the hope of comin,"Escalate the issue to the sponsorIncorrect. This is not a situation that requires the sponsor's input. It is an internal conflict within the team and is something that the project manager can address with the two team members. Also, the technical nature of the issue is not likely the domain of the sponsor.","Get stakeholder inputIncorrect. As a project manager, you are expected to assess the situation and determine the best resolution. It is not responsible or appropriate to involve the stakeholders in such an issue or to be asked to intervene in the day-to-day decisions made on the project."
2,"You have been assigned to manage a project that is in execution. The previous project manager was transferred to another division within the company. As you review the documentation on the project, you realize that a project charter was never established. What is your best course of action?",Establish a project charter at the point where you entered the project,Continue the project without a project charter,Terminate the project because a project cannot exist without a project charter,Wait and see if a project charter is necessary,A,**A project charter is an important part of a project.**,"The primary purpose of the charter is to formally authorize the project and, most importantly, provide the project manager with the authority to apply organizational resources to project activities. In this situation, the project has already begun without a charter. However, the scenario does not provide details about how well the project is progressing. Projects without charters can suffer for multiple reasons. A project charter defines what the project should deliver and sets out management’s ","Establish a project charter at the point where you entered the projectCorrect. Although the project is in execution, establishing a project charter is still beneficial. The project charter legitimizes the project and your authority. The charter also ensures there is a common understanding by the stakeholders of what the project will deliver as well as the roles and responsibilities of everyone inv","Continue the project without a project charterIncorrect. Even though your project is in execution, establishing a project charter will be beneficial. Executives use the project charter to verify that the project is in line with corporate strategic goals. Project team members use the project charter to understand if the project is meeting the organization's business need.","Terminate the project because a project cannot exist without a project charterIncorrect. While it is important to have the project charter that authorizes the project and the project manager, terminating the project that is already in execution just because the project charter does not exist is an over-reaction.","Wait and see if a project charter is necessaryIncorrect. Taking a 'wait and see' approach is essentially the same as continuing the project without a charter. There are benefits to having a project charter and if you 'wait and see,' chances are you will not have a charter when you need it."
3,Which of the following would not be an effective strategy and the least likely choice for a project manager to promote the sharing of tacit knowledge on a project?,"Hosting workshops, seminars, and information sessions",Providing work shadowing and reverse shadowing opportunities,Promote attending knowledge-sharing events such as conferences and other networking events,Create a lessons learned register for every project,D,One of the answer choices is much less effective than others in capturing tacit knowledge.,"The project manager is looking for a way to share her and others' experience, insights, opinions, and ""know-how"" or her tacit knowledge within the organization. Tacit knowledge is personal, --- requires context, and is difficult to express. This differs from explicit knowledge that can be easily recorded using words, pictures, and numbers. This question asks, which is the least effective choice for capturing tacit knowledge. Using information management systems such as a lessons learned register","Hosting workshops, seminars, and information sessionsIncorrect. This answer choice is listed as one of many techniques that are used by projects to promote and share tacit knowledge within an organization or project team.","Providing work shadowing and reverse shadowing opportunitiesIncorrect. Providing work shadowing and reverse shadowing opportunities are listed as effective methods of tacit knowledge capture and transfer within a project. Since the correct answer will be the choice that is least likely to promote and improve tacit knowledge sharing, this is an incorrect choice.","Promote attending knowledge-sharing events such as conferences and other networking eventsIncorrect. Attending knowledge-sharing events such as conferences and networking events are listed in the PMBOK guide as examples of how to promote tacit knowledge sharing. Networking, including informal social interaction and online social networking, can be useful for starting knowledge-sharing conversation","Create a lessons learned register for every projectCorrect. Of the answer choices, this is the least effective tool for capturing and sharing tacit knowledge. A lessons learned register is a great tool for capturing explicit, codified knowledge gained after each project, but that is not the primary objective in this situation."
4,You recently submitted a change request to the change control board (CCB) for an updated communications management plan to include more frequent and detailed project status updates with the intent of addressing declining stakeholder engagement. Where is the best place to find the decision status of the change request?,Change log,Project charter,Stakeholder register,Lessons learned register,A,What project document is updated with the status of change requests?,"--- The project manager is conducting the project management process of Manage Stakeholder Engagement. As a result of this process, an issue has been identified which is negatively impacting stakeholder engagement, and a change request has been submitted to the change control board (CCB) to update the communications management plan. One of the outputs of the Manage Stakeholder Engagement process is document updates which include the change log among others. The change log is updated with the dec",Change logCorrect. The change log is the project document that is updated with the status of change requests. This is the best place to find the decision status of a change request.,Project charterIncorrect. The project charter is a document issued by the sponsor which formally authorizes the existence of a project. This document does not contain information on the status of change requests.,"Stakeholder registerIncorrect. The stakeholder register is a document that includes the identification, assessment, and classification of project stakeholders. This document does not contain information on the status of change requests.",Lessons learned registerIncorrect. The lessons learned register is a document used to record lessons that have been learned during a project. This document does not contain information on the status of change requests.
5,"A_construction site is located in an earthquake-prone area. After spending considerable time discussing and analyzing this risk, the team agreed that the best way to deal with this risk was to build an earthquake-resistant foundation using a high-grade concrete. However, several weeks into construction, the project manager learns that this special type of concrete was never ordered, even though the risk response was documented in the risk register. The project will now have to be suspended. What most likely went wrong?",The project team failed to have a fallback plan.,The risk was never documented in the risk register.,No action has been taken to implement the risk response.,The risk response was not approved by the change control board.,C,It is not enough to only identify risk and plan its response. ---,"The question states that the project team spent considerable time discussing and analyzing this risk event and had an agreed-upon risk response, and yet, the risk response was never implemented. This suggests that the project team rushed or overlooked the Implement Risk Responses process. This is a common problem in risk management, where project teams spend too much effort in identifying, analyzing, and documenting risks and risk responses, but then no action is taken to manage the risk. Giving","The project team failed to have a fallback plan.Incorrect. Having a fallback plan, or an alternative risk response, does not address the question of what caused this mistake to happen. The mistake was in failing to manage the risk proactively by implementing the planned risk response.","The risk was never documented in the risk register.Incorrect. The question states that the risk response has been documented in the risk register. Therefore, it is reasonable to assume that the risk itself was documented as well.","No action has been taken to implement the risk response.Correct. A common problem in risk management is that project teams may spend a lot of time and effort in identifying, analyzing, and documenting risks and risk responses, but then no action is taken to manage the risk. Since risk planning can be a time-consuming process, it is easy to overlook or rush the process of implementing risk response","The risk response was not approved by the change control board.Incorrect. The change control board (CCB) is a formally chartered group responsible for reviewing, evaluating, approving, deferring, or rejecting changes to the project and for recording and communicating such decision. The CCB has nothing to do with the risks and/or their responses."
6,"For an upcoming project, a needs assessment and business case have been completed, and the project management office (PMO) is reviewing a draft of the benefits management plan. The PMO highlights an element of the benefits management plan and requests that the element be removed before the document is finalized. Which of the following was most likely the element the PMO requested to remove?",Expected tangible and intangible value to be gained by the implementation of the project,A set of options to be considered for addressing the business opportunity,A timeframe for realizing the benefits of the project,Measures to be used to show benefits realized,B,One of the options should have been included in the business case and not the benefits management plan.,"The key elements of a benefits management plan include target benefits, strategic alignment, a timeframe for realizing benefits, benefits owner, metrics, assumptions, and risks. Identification of a set of options to be considered for addressing the business problem or opportunity is a key element of the project business case and should not be included in the benefits management plan. This element is most likely what was marked for removal by the PMO.","Expected tangible and intangible value to be gained by the implementation of the projectIncorrect. The expected tangible and intangible value to be gained by the implementation of the project is an example of the target benefits. The target benefits are a key element of the benefits management plan. Therefore, this is not the element that was marked for removal.",A set of options to be considered for addressing the business opportunityCorrect. Identification of a set of options to be considered for addressing the business problem or opportunity is a key element of the project business case and should not be included in the benefits management plan. This element is most likely what was identified by the PMO.,"A timeframe for realizing the benefits of the projectIncorrect. A timeframe for realizing the benefits of the project is one of the key elements of the benefits management plan. Therefore, this answer choice can be eliminated.","Measures to be used to show benefits realizedIncorrect. Metrics, the measures to be used to show the benefits realized, is a key element of the benefits management plan, making this answer choice incorrect."
7,"You are leading a project to write content in three different languages. The project team is colocated for greater effectiveness. Unfortunately, the only project team member who can translate the documents into French has a leg injury and is unable to commute to the office for the next three weeks. What is the best course of action if you want to keep the project on track?",Delay the French release until the team member is back to the office,Hire an external firm to translate the content into French,Run the Acquire Resources process to replace the team member,Organize the project team members as a virtual team,D,--- What is the best way to keep the project on schedule and budget in this situation?,"One of the tools that a project manager can employ during the Acquire Resources process is the use of a virtual team. Allowing the team member to work remotely temporarily is the best solution of the available answer choices as it would have the least impact on project performance. There is not enough information in the question to determine if the colocation is mandatory per company policy. Therefore, organizing the project members as a virtual team to keep the project on track should have prio","Delay the French release until the team member is back to the officeIncorrect. The French translation is reasonably assumed to be part of the project scope, and the question states you want to keep the project on track. Delaying the release may cause the project to be unsuccessful in achieving its objectives.","Hire an external firm to translate the content into FrenchIncorrect. Procuring the work to produce the French translation would unnecessarily increase the expense of the project and will likely negatively affect the project schedule. Of the available choices, this is not the best solution if you want to keep the project on track.","Run the Acquire Resources process to replace the team memberIncorrect. The question states that the team member will be unable to drive for three weeks. It is unlikely that a replacement can be acquired and brought up to speed in that time frame, especially if, according to the scenario described, you want to keep the project on track.","Organize the project team members as a virtual teamCorrect. Of the choices provided, allowing the team member to temporarily work remotely is the best solution as it would have the least impact on project performance. Allowing one team member to work remotely would make the team a virtual team even if the rest of the project team continues to be colocated. ---"
8,"You are part of a small quality assurance team that is responsible for doing quality testing before each project deliverable is released to the customer. Your job is to confirm that the project processes are conforming to the company's quality standards and to identify areas for process improvement. As part of your analysis, your team makes use of flowcharts, matrix diagrams, audits, and affinity diagrams. What quality process is your team performing?",Plan Quality Management,Control Quality,Perform Quality Analysis,Manage Quality,D,Which of the following is the process of auditing quality requirements?,"The team is analyzing the process to ensure the project's conformance to the company's quality standards and to identify areas for process improvement, which means they are performing Manage Quality. A hint is that audits are a tool listed only for the process of Manage Quality, whereas the other tools and techniques listed may be used in Manage Quality in addition to Plan Quality Management and Control Quality processes.","Plan Quality ManagementIncorrect. This process involves identifying quality requirements and/or standards for the project and its deliverables, and documenting how the project will demonstrate compliance with quality requirements and/or standards. This planning has already been performed in this scenario, so it cannot be the correct answer choice.","Control QualityIncorrect. Control Quality is concerned with comparing the work results with the quality requirements to ensure the result is acceptable. The focus is more on looking at each deliverable to inspect it for defects. In this scenario, the team is focused on identifying areas for process improvement and verifying how well the deliverables conform to the company's overall quality standar","Perform Quality AnalysisIncorrect. This is a made-up term, not one of the three PMI defined processes of Project Quality Management. This is not to be confused with data analysis - a tool and technique used in managing and controlling quality.","Manage Quality--- Correct. In this scenario, the team is analyzing the project processes to ensure conformance to company quality standards and to identify areas for process improvement, which means you are performing the Manage Quality process. A hint is that audits are a tool listed only for the process of Manage Quality, making this the only correct answer choice."
9,"Using the appropriate tools and techniques, the project team have collected a set of requirements for the project. What is the next step in defining which requirements will be included as part of the project?",Creating a work breakdown structure,Developing a scope management plan,Building a working prototype,Performing the Define Scope process,D,The project manager has just completed the Collect Requirements process. What process is next?,"Since not all of the requirements identified in Collect Requirement process may be included in the project, the project team performs the Define Scope process to select the final project requirements from the requirements documentation that was created during the Collect Requirements process. One of the major outputs from the Define Scope process is the project scope statement which is the description of the project scope, the project's major deliverables, assumptions, and constraints. The Defin",Creating a work breakdown structureIncorrect. The work breakdown structure is created during the Create WBS process which is performed after the project scope is defined.,Developing a scope management planIncorrect. The scope management plan is developed during the Plan Scope Management process which is performed before the Collect Requirements process.,"Building a working prototypeIncorrect. Prototyping, if appropriate, is one of the tools and techniques that would have been used to collect the requirements. According to the scenario, the requirements have already been collected.",Performing the Define Scope process--- Correct. The Define Scope process is performed after the Collect Requirements process is performed to determine which of the requirements collected will be included in or excluded from the project scope.
10,"You are leading a project to be developed incrementally in small releases. Requirements have been established for the initial release. Feedback from a focus group will determine the scope of each subsequent release. The client has established a strict budget for the entire project. In this adaptive environment, which is the best way to proceed?",Use a traditional waterfall approach for the project,Add prioritized features to the project scope with each release until the budget is exhausted,"During initial project planning, develop a detailed budget for each release",Use a change control board (CCB) to prevent scope creep,B,"In this scenario, the schedule and scope will be adjusted to stay within the cost constraint.","The question describes a project where the scope beyond the initial release is undetermined. In cases where the project scope will evolve throughout project execution, the scope and schedule may be adjusted to stay within the cost constraint. This approach is typically applied to projects lead using agile methods where the product backlog constitutes the project scope that is defined and redefined throughout the project. Thus, of the available choices, adding prioritized features with each relea","Use a traditional waterfall approach for the projectIncorrect. The scenario in the question is that the project scope will evolve based on feedback from the focus group for each subsequent release. Since much of the scope is unknown at the start of the project, this is not suited to a traditional or predictive approach like waterfall.","Add prioritized features to the project scope with each release until the budget is exhaustedCorrect. With an adaptive approach where the cost is fixed, the schedule and scope must be adjusted to stay within the cost constraint.","During initial project planning, develop a detailed budget for each releaseIncorrect. The question describes that the project scope is not known and will be based on feedback from a focus group. As such, it will not be possible to develop a realistic budget for each release without knowing what features will be developed.",Use a change control board (CCB) to prevent scope creep--- Incorrect. The question implies that the project will use an agile or adaptive methodology. Agile projects do not use formal change control procedures as is done when using a traditional project management approach.
