No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
1,Which of the tools and techniques listed below is employed during the Plan Stakeholder Engagement process?,,Decision tree analysis,Benchmarking,Process analysis,Hierarchical charts,B,"There are six tools and techniques employed during the Plan Stakeholder Engagement process: ● Expert judgment ● Data gathering (e.g., benchmarking) ● Data analysis ● Decision making ● Data representation ● Meetings"
2,Which of the following tools and techniques is used for both Control Resources and Manage Quality?,,Negotiation,Influencing,Problem solving,Flow charts,C,"Control Resources is the process of ensuring that the physical resources assigned and allocated to the project are available as planned, as well as monitoring the planned versus actual utilization of resources and performing corrective action as necessary. Control Resources has four tools and techniques: ● Data analysis (alternatives analysis, cost-benefit analysis, performance reviews, trend analysis) ● Problem solving ● Interpersonal and team skills (negotiation and influencing) ● Project management information systems (resource management or scheduling software) Problem solving is only explicitly listed as a tool and technique for the Control Resources and Manage Quality processes."
3,Which of the following is an output of the Develop Schedule process?,,Activity list,Schedule data,Scope baseline,Resource breakdown structure,B,"The Develop Schedule process has the following seven outputs: ● Schedule baseline ● Project schedule ● Schedule data ● Project calendars ● Change requests ● Project management plan updates ● Project documents updates The Develop Schedule process is defined as ""the process of analyzing activity sequences, durations, resource requirements, and schedule constraints to create the project schedule model for project execution and monitoring and controlling""."
4,"The Conduct Procurements process has six outputs, including: ● Selected sellers ● Change requests ● Project management plan updates ● Project documents updates ● Organizational process assets updates Which of the following outputs is missing from the list?",,Work performance reports,Enterprise environmental factors updates,Verified deliverables,Agreements,D,"Conduct Procurements is the process of obtaining seller responses, selecting a seller, and awarding a contract. The Conduct Procurements process has the following six outputs: ● Selected sellers ● Agreements ● Change requests ● Project management plan updates ● Project documents updates ● Organizational process assets updates"
5,Which of the following is an output of the Determine Budget process?,,Requirements traceability matrix,Contracts,Cost baseline,Resource breakdown structure,C,"The Determine Budget process has the following outputs: ● Cost baseline ● Project funding requirements ● Project documents updates (cost estimates, project schedule, risk register) Determine Budget is the process of aggregating the estimated costs of individual activities or work packages to establish an authorized cost baseline."
6,Which of the following is a tool and technique of the Identify Risks process?,,Project management information system,Trend analysis,Cost estimates,SWOT analysis,D,"Identify Risks is the process of identifying individual risks as well as sources of overall risk and documenting their characteristics. This process employs six tools & techniques: ● Expert judgment ● Data gathering ● Data analysis (e.g., SWOT analysis) ● Interpersonal and team skills ● Prompt lists ● Meetings"
7,Updates to which of the following are an output of the Perform Quantitative Risk Analysis process? Top of Form,,Cost forecasts,Risk report,Risk register,Organizational process assets,B,"The Perform Quantitative Risk Analysis process is where the effect of identified individual project risks and other sources of uncertainty on overall project objectives is numerically analyzed. This process has only one output, which is the project documents updates (e.g., the risk report)."
8,Which of the following is not a tool and technique used during the Monitor Stakeholder Engagement process?,,Root cause analysis,Presentations,Communication styles assessment,Cultural awareness,C,"Monitor Stakeholder Engagement is the process of monitoring project stakeholder relationships, and tailoring strategies for engaging stakeholders through the modification of engagement strategies and plans. This process uses six tools and techniques: ● Data analysis (including alternatives analysis, root cause analysis, and stakeholder analysis) ● Decision making (including multicriteria decision analysis and voting) ● Data representation (e.g., the stakeholder engagement assessment matrix) ● Communication skills (including feedback and presentations) ● Interpersonal and team skills (including active listening, cultural awareness, leadership, networking, and political awareness) ● Meetings"
9,Which of the following is not a tool and technique of the Develop Schedule process?,,What-if scenario analysis,Critical path method,Resource optimization,Rolling wave planning,D,"The Develop Schedule process has the following eight tools and techniques: ● Schedule network analysis ● Critical path method ● Resource optimization ● Data analysis (e.g., what-if scenario analysis) ● Leads and lags ● Schedule compression ● Project management information system ● Agile release planning"
10,Which of the following is not a tool or technique used during the Monitor Communication process?,,Observation/conversation,Communication methods,Interpersonal and team skills,Meetings,B,"Monitor Communications is the process of ensuring that the information needs of the project and its stakeholders are met. This process has the following five tools and techniques: ● Expert judgment ● Project management information system ● Data analysis ● Interpersonal and team skills (e.g., observations/conversation) ● Meetings"
11,Which of the following is not an input to the Plan Communications Management process?,,Stakeholder register,Enterprise environmental factors (EEFs),Performance reports,Organizational process assets (OPAs),C,"Plan Communications Management is the process of developing an appropriate approach and plan for project communication activities based on the information needs of each stakeholder or group, available organizational assets, and the needs of the project. The Plan Communications Management process has the following five inputs: ● Project charter ● Project management plan ● Project documents (e.g., stakeholder register) ● Enterprise environmental factors ● Organizational process assets"
12,Which of the following is not an input to the Develop Team process?,,Project team assignments,Issue log,Resource calendars,Resource management plan,B,"Develop Team is the process of improving competences, team member interaction, and overall team environment to enhance project performance. It has the following four inputs: ● Project management plan (resource management plan especially the team performance assessment criteria, as well as guidance on rewards, feedback, training, and disciplinary actions) ● Project documents (lessons learned register, project schedule, project team assignments, resource calendars, team charter) ● Enterprise environmental factors (human resource management policies, team member competencies, and geographic distribution) ● Organizational process assets (historical information and lessons learned repository) The issue log is not an input project document for the Develop Team process, which is focused on improving team competencies and interaction, and the overall team environment. Instead, the Manage Team process, which is focused on oversight and issue resolution, uses the issue log as an input for documenting and monitoring who is responsible for resolving issues by a target date."
13,All of the following are inputs to the Close Project or Phase process except:,,Project charter,Benefits management plan,Enterprise environmental factors,Procurement documentation,C,"Close Project or Phase is the process of finalizing all activities for the project, phase, or contract. The Close Project or Phase process has the following eight inputs: ● Project charter ● Project management plan ● Project documents ● Accepted deliverables ● Business documents ● Agreements ● Procurement documentation ● Organizational process assets"
14,All of the following are tools and techniques used in the Manage Project Knowledge process except:,,Facilitation,Political awareness,Brainstorming,Networking,C,"The Manage Project Knowledge process has the following four tools and techniques: ● Expert judgment ● Knowledge management ● Information management ● Interpersonal and team skills (e.g., facilitation, networking, political awareness) Manage Project Knowledge is the process of using existing knowledge and creating new knowledge to achieve the project's objectives and contribute to organizational learning."
15,"The Conduct Procurements process has six inputs, including: ● Project management plan ● Project documents ● Procurement documentation ● Enterprise environmental factors ● Organizational process assets Which of the following inputs is missing from the list?",,Procurement statement of work,Source selection criteria,Seller proposals,Project charter,C,"Conduct Procurements is the process of obtaining seller responses, selecting a seller, and awarding a contract. The Conduct Procurements process has the following six inputs: ● Project management plan ● Project documents ● Procurement documentation (e.g., source selection criteria, procurement statement of work) ● Seller proposals ● Enterprise environmental factors ● Organizational process assets"
16,Which of the following is not an input to the Plan Schedule Management process?,,Expert judgment,Scope management plan,Development approach,Project charter,A,"The Plan Schedule Management process has the following four inputs: ● Project charter ● Project management plan (e.g., scope management plan, development approach) ● Enterprise environmental factors ● Organizational process assets"
17,Which of the following is a tool or technique used in the Perform Integrated Change Control process?,,Conflict management,Project management information system,Change requests,Multicriteria decision analysis,D,"Perform Integrated Change Control is the process of reviewing all change requests; approving changes and managing changes to deliverables, organizational process assets, project documents, and the project management plan; and communicating the decisions. The Perform Integrated Change Control process has the following five tools and techniques: ● Expert judgment ● Change control tools ● Data analysis ● Decision making (e.g., multicriteria decision analysis) ● Meetings"
18,Which of the following is not an input to the Plan Risk Responses process?,,Risk register,Scope baseline,Stakeholder register,Cost baseline,B,"Plan Risk Responses is the process of developing options, selecting strategies, and agreeing on actions to address overall project risk exposure, as well as to treat individual project risks. This process has the following four inputs: ● Project management plan (including the risk management plan, the resource management plan, and the cost baseline) ● Project documents (including the lessons learned register, the project schedule, project team assignments, resource calendars, the risk register, the risk report, and the stakeholder register) ● Enterprise environmental factors ● Organizational process assets"
19,All of the following are inputs to the Manage Project Knowledge process except:,,Project charter,Lessons learned register,Deliverables,Project team assignments,A,"The Manage Project Knowledge process has the following five inputs: ● Project management plan ● Project documents (e.g., lessons learned register, project team assignments) ● Deliverables ● Enterprise environmental factors ● Organizational process assets The Manage Project Knowledge is the process of using existing knowledge and creating new knowledge to achieve the project's objectives and contribute to organizational learning./p>"
20,Which of the following is not a tool or technique of the Estimate Activity Resources process?,,Analogous estimating,Parametric estimating,Three-point estimating,Bottom-up estimating,C,"Estimate Activity Resources is the process of estimating team resources and the type and quantities of material, equipment, and supplies necessary to perform project work. This process has the following seven tools and techniques: ● Expert judgment ● Bottom-up estimating ● Analogous estimating ● Parametric estimating ● Data analysis ● Project management information systems (PMIS) ● Meetings Using a range to account for uncertainty and risk, the three-point estimating technique is used only to estimate activity durations and costs. All the other estimating techniques create single-point estimates, which are appropriate for not only activity duration and cost but also human resources and discrete physical supplies."
