No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
1,"A_project manager is leading a project, which has experienced greater than anticipated weather-related delays. To keep the project on schedule, the project manager will need to access the contingency reserves allocated for this risk. What should the project manager do next?",,Submit a change request to access the contingency reserves,Escalate the issue to the key project stakeholders,Access the contingency reserves as needed to meet the project objectives,Send a request to the project management office (PMO),C,"According to the scenario, the project manager is performing the Implement Risk Responses process. A risk register in an input to this process and specifies the responses for the identified risks including the contingency reserves allocated for these responses. Contingency reserves are included in the cost baseline and can be accessed when a risk listed in the risk register realizes. Therefore, of the available options, the next logical step for the project manager is to access the contingency reserves as necessary to meet the project objectives."
2,"You are leading a large and complex project, which requires various vendors and suppliers to provide project deliverables. One of your vendors contacts you and states that they have just completed their contracted work and would like to know when they will receive final payment. How might you respond to the vendor's question?",,Once we have verified that you are on our prequalified seller list,After we provide you with formal written notice that the contract has been completed,After we have approved all of your deliverables,"When we perform project closure, we will release final vendor payments",C,"The project management team should have approved all of the deliverables before final payment is made and the procurement is closed out. Although the approval status is not known from the description provided by the question, the fact that the work was ""just completed"" suggests that the approvals remain to be provided. Therefore, telling the vendor that the approval of the deliverables must be completed prior to the final payment represents an appropriate and most likely response to the vendor's question. The incorrect answer choices represent actions that either should occur after final payment has been made or are not required. Of the available choices, advising the vendor that final payment will be made after the deliverables have been approved is the only appropriate response to the question asked by the vendor."
3,A_project manager is explaining the roles and responsibilities for the quality assurance process with the project team. Who plays a role in managing quality for the project?,,"The project manager, project team, and management of the performing organization",The project sponsor along with the project manager and project team,The project manager along with the project team,"The project manager, project team, project sponsor, management of the performing organization, and the customer",D,"The Manage Quality process is sometimes referred to as quality assurance. It is not uncommon to hear opinions that quality is the responsibility of the quality assurance department in an organization. However, project management practitioners should understand that Manage Quality is considered the work of everybody including the project manager, project team, project sponsor, management of the performing organization, and even the customer. All of these have roles in managing quality in the project, though the roles differ in size and effort."
4,A_project manager is leading a project kick-off meeting with the project team and other stakeholders. The goal of the meeting is to gain the commitment of the team for the project and inform the stakeholders of the project's objectives as well as define the stakeholders' roles and responsibilities. Which of the following interpersonal and team skills is least likely to be utilized during a kick-off meeting?,,Meeting management,Facilitation,Conflict management,Nominal group technique,D,"The question is asking for the interpersonal and team skill which is least likely to be useful for a kick-off meeting. Conflict management, facilitation, and meeting management are all skills which will be essential when conducting a kick-off meeting. While the nominal group technique is an interpersonal and team skill, this technique is typically used during the Collect Requirements process to enhance brainstorming with a voting process to rank the most useful ideas for further brainstorming or prioritization. The kick-off meeting is not intended to rank the most useful ideas for further brainstorming or prioritization. Collecting requirements should have taken place during project planning which, based on the scenario described, has already been completed. The goal of the kick-off meeting is to communicate the objectives of the project, gain the commitment of the stakeholders and the team for the project, and explain the roles and responsibilities of each stakeholder. Therefore, of the choices provided, nominal group technique is least likely to be used during the kick-off meeting and is, therefore, the best answer to the question asked."
5,You are working with your team to develop the scope management plan. Which of the following will you need to complete this process?,,Project charter and business case,Stakeholder engagement plan and quality management plan,Lessons learned register and project schedule,Project life cycle description and development approach,D,"The question implies that the Plan Scope Management process is being carried out. The scope management plan, which is an output from that process, documents how the project and product scope will be defined, validated, and controlled. Different development approaches and different project lifecycles will handle the definition, validation, and control of the scope differently. Therefore, among the choices given, the project life cycle description and development approach documents are the components of the project management plan that you will need in order to complete the development of the scope management plan."
6,A_senior manager hands the project manager the business case that will be used as an input to develop the project charter. Several sources served as the triggers for the creation of the business case. Which of the following would not be one of those triggers?,,Project manager's expert judgment,Legal requirement,Customer request,Social need,A,"Typically, the business need and the cost-benefit analysis are contained in the business case to justify and establish boundaries for the project. A business case is created for the same reasons that projects are created, for example, legal requirement, customer request, social need, etc. The project manager's expert judgment can be used as one of the tools and techniques to develop the project charter but it does not trigger the business case. The question is asking which of the choices is 'not' a source for a business case. Therefore, of the choices given, the project manager's expert judgment is the best answer to the question asked."
7,"A_project sponsor is working with the team during project initiation. After several meetings to review high-level product requirements, the sponsor decides they need to begin looking for risks from a holistic standpoint. The company has developed many projects of similar size and scope before in the past. Where best can the team find information about the company’s past project risks?",,In previous DfX risk logs,In previous risk breakdown structures,In previous cause-and-effect diagrams,In previous organizational risk thresholds,B,"The question describes a situation in which the project sponsor is concerned about possible risks that could affect the project. To best address this concern, the project sponsor and team should check any available organizational process assets, e.g., past risk management plans and the risk breakdown structures (RBS) contained within them. By using an RBS from a past project of similar size and scope, the team will be able to better categorize and classify risks they perceive to be applicable to the current project."
8,"You have recently completed a project to build a new airport for small personal aircraft. About a month later, you see a news report of protestors outside of the new airport. The news report indicates that local residents are very upset about the noise from aircraft taking off and landing. The residents are petitioning the local government to shut down the airport. Which project management process was inadequate?",,Identify Stakeholders,Stakeholder engagement plan,Stakeholder analysis,Communications management plan,A,"The key to answering this question correctly is provided in the last sentence of the question. Of the available choices, only Identify Stakeholders is a project management process specified in the PMBOK® Guide. Failing to identify the local residents as stakeholders would mean that they never had the opportunity to provide feedback that might have mitigated the noise issue. For example, perhaps the airport design could have been changed with a different runway orientation that would have minimized the noise issues for the residents."
9,"While planning the vendor selection process, you and your team are conducting market research by examining the industry and specific seller capabilities. Your project team leverages information gained at conferences, online reviews, and various other sources to identify market capabilities. What tool or technique are you using for this process?",,Requirements documentation,Data gathering,Vendor differential analysis,Make-or-buy analysis,B,"The question suggests that the project team is undertaking the Plan Procurement Management process. One of the techniques used in this process is data gathering, such as market research. Market research includes the examination of industry and specific seller capabilities. The project team may leverage information gained at conferences, online reviews, and a variety of sources to identify market capabilities. The project team may also refine specific procurement objectives to leverage maturing technologies while balancing risks associated with the breadth of sellers who can provide the desired materials or services."
10,"During the development of the stakeholder engagement plan, the project manager realizes that a key stakeholder is resistant to the project. Without the support of this stakeholder, the project may fail. What is the best course of action for the project manager to identify the reason for the stakeholder being resistant?",,Escalate to the project sponsor,Update the stakeholder register,Use the mind mapping technique,Utilize an Ishikawa diagram,D,"The question states that the stakeholder engagement plan is being created, which suggests that the Plan Stakeholder Engagement process is being performed. Root cause analysis, which typically utilizes Ishikawa diagrams, is a data analysis technique that is commonly used during the Plan Stakeholder Engagement process to identify underlying reasons for the level of support of project stakeholders in order to select the appropriate strategy to improve their level of engagement. Among the available choices, only an Ishikawa diagram can provide insight into the reason for the stakeholder's resistance to the project and is, therefore, the best answer to the question asked."
